"rabıta","bağlantı"
"ahmakane","ahmakça"
"rabıta","bağlantı"
"hayat-ı içtimaiye","toplumsal hayat"
"semm-i katil","öldürücü zehir"
"mürted","İslâmdan çıkan"
"hayat-ı içtimaiye","toplumsal hayat"
"ilm-i usul","bir işin nasıl yapılacağını gösteren ilim, metodoloji"
"Mürted","İslâmdan çıkan"
"hakk-ı hayat","yaşama hakkı"
"Kâfir","Allah'ı veya Allah'ın bildirdiği kesin olan bir şeyi inkâr eden kimse"
"zimmî","anlaşma ile İslâm diyarında yaşaması kabul edilmiş Müslüman olmayan kişi"
"musalâha","barışma"
"hakk-ı hayat","yaşama hakkı"
"usul-i şeriat","İslâm şeriatının temel usulü, kuralı"
"düstur","kural"
"mezheb-i Hanefi","Hanefi mezhebi"
"ehl-i zimme","İslâm ülkesinde yaşayan Müslüman olmayan halk"
"kâfir","Allah'ı veya Allah'ın bildirdiği kesin olan bir şeyi inkâr eden kimse"
"şehadet","şahitlik"
"makbul","kabul edilen"
"fâsık","günahkâr"
"merdûdü'ş-şehadet","şahitliği kabul edilmeyen"
"bedbaht","talihsiz, bahtsız"
"fâsık","günahkâr, dinî kurallara aykırı yaşayan"
"Fâsık","günahkâr, dinî kurallara aykırı yaşayan"
"kesret","çokluk"
"bakı","devamlı, kalıcı, sonsuz"
"Ekseriyet","çoğunluk"
"efkâr","fikirler, düşünceler"
"fâsık","günahkâr, dinî kurallara aykırı yaşayan"
"fısk","günah"
"bizzat","doğrudan"
"fâsık","günahkâr, dinî kurallara aykırı yaşayan"
"salih","dinin emir ve yasaklarına uygun hareket eden kişi"
"âmir","idareci"
"reis","başkan"
"mütedeyyin","dinin emirlerini eksiksiz yerine getiren, dindar"
"el-iyâzü billâh","Allah korusun"
"irtidat","dinden çıkmak"
"tefessüh","bozulma, kokuşma"
"divane","akılsız"
"fakr-ı hal","fakir bir halde olma, fakirlik"
"ikaz","uyarı"
"fakr-ı hal","fakir bir halde olma, fakirlik"
"mü'min","Allah'a inanan"
"sebeb-i hasâret","hüsrana uğrama sebebi"
"sefalet","perişanlık, yoksulluk"
"durub-u emsal","ata sözleri"
"sevk","yönlendiren"
"esbab","sebepler"
"nefis","insanı kötüye yönelten duygu"
"hevâ","gelip geçici arzu ve istekler"
"havas","hisler, duygular"
"surî","görünüşte"
"dâi","davet eden, çağıran"
"bâki","devamlı, kalıcı, sonsuz"
"âhiret","öldükten sonra yaşanacak olan sonsuz hayat"
"hayat-ı ebediye","sonsuz hayat, âhiret hayatı"
"zerre miktar","çok az miktar"
"biçare","çaresiz"
"hamiyet","din ve vatan gibi mukaddes değerleri ve kendi aile ve yakınlarını koruma duygusu ve gayreti"
"ulüvv-ü himmet","yüksek himmet ve gayret sahibi"
"dem","söz etmek"
"hayat-ı bâkiye","devamlı ve kalıcı âhiret hayatı"
"imdat","yardım etmek"
"dâi","davet eden, çağıran"
"Âyâ","acaba"
"fakr-ı hal","fakir bir halde olma, fakirlik"
"zühd","Allah korkusuyla günahlardan kaçınıp kendini ibadete verme"
"terk-i dünya","dünyayı terk etme"
"neş'et","kaynaklanmak"
"Çin","bk. Çin"
"Hint","bk. Hindistan"
"Mecusî","bk. Mecûsîlik"
"Berahime","bk. Berahime"
"Afrika","bk. Afrika"
"Avrupa","bk. Avrupa"
"tasallut","musallat olma, sataşma"
"zarurî","zorunlu"
"kut","rızık, gıda maddesi"
"ziyade","çok, fazla"
"Avrupa","bk. Avrupa"
"kâfir","Allah'ı veya Allah'ın bildirdiği kesin olan bir şeyi inkâr eden kimse"
"zalim","haksızlık eden"
"Asya","bk. Asya"
"münafık","iki yüzlü, inanmadığı halde inanmış görünen"
"desise","hile, aldatma"
"gasp","zorla almak"
"cebren","zorla"
"ehl-i iman","Allah'a ve Allah'tan gelen her şeye inanan kimseler, mü'minler"
"mim'","ahlâksızlık, alçaklık (Arapça yazılış olarak medeniyet kelimesinin ilk harfi olan mim harfi kaldırılınca geriye alçaklık anlamında deniyet kelimesi kalır)"
"sevk","göndermek"
"maksad","amaç, hedef"
"âsâyiş","emniyet ve güven ortamı"
"emniyet","güven, korkusuz"
"kat'iyen","kesin olarak"
"sevk","göndermek"
"itikad","inanç"
"ahlâk","huy, tabiat, insanın davranış tarzı, tutum ve tavrı"
"fâsık","günahkâr, dinî kurallara aykırı yaşayan"
"âsâyiş","emniyet ve güven ortamı"
"temin","sağlama"
"ehl-i salâhat","dine göre yaşayanlar, salih kimseler"
"müşkül","zor"
"esas","temel"
"binaen","dayanarak"
"ehl-i İslâm","Müslümanlar"
"sevk","göndermek"
"teşvik","şevklendirme, isteklendirme"
"Terakkiyat","ilerlemeler, yükselmeler"
"âsâyiş","emniyet ve güven ortamı"
"temin","sağlama"
"mesai","çalışma, iş zamanı"
"tanzim","düzenleme, düzene koyma"
"mâbeyn","iki şeyin arası"
"emniyet","güven, korkusuz"
"tesis","kurma, yerleştirme"
"teavün","yardımlaşma"
"düstur","kural"
"teshil","kolaylaştırma"
"evâmir-i kudsiye","kusur ve noksandan uzak olan yüce emirler"
"takvâ","Allah'ın emirlerini tutup, günahlardan sakınma"
"salâbet-i diniye","dinin emirlerini koruma ve uygulamaktaki ciddiyet ve sağlamlık"
"NOTA","bildiri"
"sa'y","çalışma"
"amel","iş yapma"
"saadet","mutluluk"
"Cenâb-ı Hak","Hakkın tâ kendisi olan şeref ve yücelik sahibi Allah"
"kemâl-i kerem","lütuf ve cömertliğin mükemmelliği, kusursuz ikram edicilik"
"mükâfât","ödül"
"derc","yerleştirmek"
"Amel","iş yapma"
"nefs-i amel","amelin kendisi"
"mevcudat","varlıklar"
"nokta-i nazar","bakış açısı"
"câmidat","cansızlar"
"evâmir-i tekviniye","Allah'ın tabiata yerleştirdiği kanunlar"
"tabir edilen","adlandırılan"
"vazife","görev"
"kemâl-i şevk","büyük bir istek"
"evâmir-i Rabbâniye","Allah'ın koyduğu kurallar"
"imtisal","bağlanmak, boyun eğmek"
"şems","güneş"
"kamer","ay"
"kemâl-i lezzet","eksiksiz lezzet"
"vazife","görev"
"âkıbet","netice, son"
"vazife","görev"
"ifa","bir işi gerçekleştirmek, yerine getirmek"
"Zîhayat","canlı"
"kabil","mümkün, olabilir"
"Cemâdat","cansız varlıklar"
"şevk","büyük istek ve arzu"
"Cemâdat","cansız varlıklar"
"tecellî","yansıma, görünme"
"esmâ-i İlâhiye","Allah'ın isimleri"
"makam","derece"
"kemal","mükemmellik, olgunluk"
"intizam","disiplin, düzen"
"vazife-i fıtriye","yaratılıştan gelen görev"
"imtisal","bağlanma, boyun eğme"
"Nûru'l-Envâr","nurların nuru, sonsuz nur sahibi olan Allah"
"mâkes","yansıma yeri, ayna"
"tenevvür","nurlanmak, aydınlanmak"
"terakki","ilerlemek, gelişmek"
"katre","damla"
"zerrecik","atom"
"zât","bir şeyin kendisi"
"ziyasız","ışıksız"
"ehemmiyetsiz","önemsiz"
"sâfi","temiz, arınmış"
"ehemmiyetsiz","önemsiz"
"ziyasız","ışıksız"
"katre","damla"
"nevi","çeşit, tür"
"arş","taht; emir ve egemenliğin tecelli ettiği yer"
"misal","örnek"
"zerrat","zerreler"
"mevcudat","varlıklar"
"cemâl-i mutlak","sınırsız güzellik"
"kemâl-i mutlak","her yönüyle mükemmel olma"
"Zât-ı Zülcelâl","sonsuz büyüklük ve haşmet sahibi Allah"
"vazifeperver","vazifesini seven, işine düşkün"
"cihet","yön"
"katre","damla"
"zerrecik","atom"
"derece-i zuhur","ortaya çıkma derecesi"
"cihet","yön"
"nuranî","nurlu, parlak"
"makam","derece"
"kabil","mümkün, olabilir"
"hayat-ı âmme","genel hayat, hayatın genel mânâsı"
"hissedar","pay sahibi"
"zâhir","açık, gözle görünür"
"âzâ","organlar"
"beka-i şahsî","ferdin devamlılığı"
"beka-i nev'î","türün devamlılığı"
"Nefs-i hizmet","hizmetin bizzat kendisi"
"telezzüz","lezzetlenme"
"uzv","organ"
"nevi","çeşit, tür"
"azab","sıkıntı, acı çekme"
"zâhir","açık, gözle görünür"
"hayvânât","hayvanlar"
"fedakârâne","fedakârca"
"merdâne","mertçe"
"vaziyet","durum"
"nefs","bir varlığın kendisi"
"şevk","büyük istek ve arzu"
"iftihar","övünme"
"telezzüz","lezzetlenme"
"elem","acı, sıkıntı"
"tereccuh","üstün gelmek"
"ziyade","çok, fazla"
"Hayvânî","hayvanlardan olan"
"valide","anne"
"himaye","koruma"
"dane","tane, tohum"
"nev'","tür, çeşit"
"valide","anne"
"zaaf","zayıflık"
"acz","güçsüzlük"
"itibarıyla","açısından"
"umum","bütün"
"hayvânât","hayvanlar"
"valide","anne"
"namına","adına"
"kemal","mükemmellik, olgunluk"
"tavzif","görevlendiren"
"rahmet","şefkat, merhamet"
"derc","yerleştiren"
"Mün'im-i Kerîm","sonsuz cömertlik sahibi ve nimet verici Allah"
"Fâtır-ı Zülcelâl","sonsuz haşmet ve büyüklük sahibi olan ve her şeyi yoktan benzersiz olarak yaratan Allah"
"namına","adına"
"nefs-i hizmet","hizmetin bizzat kendisi"
"Nebâtat","bitkiler"
"eşcar","ağaçlar"
"şevk u lezzet","şevk ve lezzet"
"ihsas","hissettiren"
"Fâtır-ı Zülcelâl","sonsuz haşmet ve büyüklük sahibi olan ve her şeyi yoktan benzersiz olarak yaratan Allah"
"imtisal","emre uyma, boyun eğme"
"nazar","bakış"
"celb","çekmek"
"ziynet","süs"
"ehl-i dikkat","olayları derinlemesine inceleyen kişiler"
"emr-i İlâhî","Allah'ın emri"
"imtisal","emre uyma, boyun eğme"
"nefs","bir şeyin kendisi"
"meyvedar","meyveli"
"rahmet","şefkat, merhamet"
"lisan-ı hal","hal ve beden dili"
"sâfi","temiz, arınmış"
"şarab","içecek"
"hazine-i rahmet","Allah'ın sonsuz rahmet hazinesi"
"kanaat","yetinmek"
"hububat","tohumlar, taneli bitkiler"
"zâhir","açık, gözle görünür"
"iştiyak","çok arzu ve istek"
"zat","kişi"
"müştakane","aşk ile, çok isteyerek"
"hububat","tohumlar, taneli bitkiler"
"sürurlu","mutluluk ve sevinç verici"
"vaziyet","durum, hâl"
"iştiyak","çok arzu ve istek"
"sünnetullah","kâinatta yürürlükte olan İlâhî kanunlar"
"tabir edilen","adlandırılan, ifade edilen"
"kâinat","evren"
"cereyan","meydana gelen"
"düstur","kanun"
"ekseriyetle","çoğunlukla"
"sa'y","çalışan"
"ziyade","çok, fazla"
"Sa'y","çalışan"
"şâkir","Allah'a şükreden"
"hamd","şükür ve övgülerini sunmak"
"küllî","geniş, her şeyi kuşatan"
"düstur","kanun"
"zahmet","zorluk"
"zahmet","zorluk"
"darbımesel","atasözü"
"cemâdât","cansız varlıklar"
"nazar","bakmak"
"bilkuvve","potansiyel olarak"
"istidat","kabiliyet"
"cihet","yön"
"nâkıs","eksik, noksan"
"inkişaf","açığa çıkma"
"içtihad","çaba gösterme, gayret etme"
"sa'y","çalışan"
"inbisat","genişleme, yayılma"
"bilkuvve","potansiyel olarak"
"bilfiil","fiilen, uygulamaya koyarak"
"suret","biçim, görünüş"
"mezkûr","adı geçen"
"sünnet-i İlâhiye","Allah'ın kainata koyduğu kanunlar"
"düstur","kanun"
"vazife-i fıtriye","yaratılıştan gelen görev"
"şevk","şiddetli arzu ve istek"
"câmid","cansız"
"umumî","bütün"
"şevk","şiddetli arzu ve istek"
"câmid","cansız"
"temsil","bir şeyin temsilcisi olan"
"nezaret","gözeten"
"binaen","dayanarak"
"Lâtif","ince, güzel"
"nâzik","zarif, ince, narin"
"incimad","donma, katılaşma"
"şevk","şiddetli arzu ve istek"
"imtisal","emre uyma, boyun eğme"
"burûdet","soğukluk"
"tahtessıfır","sıfırın altında"
"lisan","dil"
"emr-i Rabbânî","bütün varlıkları yaratılış gayelerine göre terbiye edip idaresi ve egemenliği altında tutan Allah'ın emri"
"tebliğ","bildirmek"
"şiddet-i şevk","şiddetli bir istek ve arzu"
"hâkezâ","bunun gibi"
"deverân","dönüş"
"seyir ü seyahat","yolculuk"
"zerre","atom"
"mevlevî","Mevlevîlik tarikatına mensup olan ve kendi etrafında dönerek semâ yapan kişi"
"devretme","dönme"
"ihtizaz","sarsılma, hareketlenme"
"kâinat","evren"
"sa'y","çalışan"
"kanun-u kader-i İlâhî","Allah'ın meydana gelecek hadiseleri gerçekleşmeden önce sonsuz ilmiyle belirlediği ve bütün kâinatta geçerli olan kanunlar"
"cereyan","meydana gelmek"
"dest-i kudret-i İlâhî","Allah'ın sonsuz kudret eli"
"sudur","ortaya çıkan"
"irade","dileme, seçme gücü"
"tazammun","içeren"
"emr-i tekvînî","Allah'ın varlıkları şekillendirmeye yönelik emri"
"zuhur","ortaya çıkmak, görünmek"
"zerre","atom"
"mevcut","var"
"zîhayat","canlı"
"nefer","asker, er"
"muhtelif","çeşitli"
"nefer","asker, er"
"nisbet","bağlılık, bağlantı noktası"
"zerre","atom"
"zîhayat","canlı"
"zerre","atom"
"âsâb-ı veçhiye","insanın yüzünde bulunan sinirler"
"şerâyin","atardamar"
"tabir edilen","adlandırılan"
"vazife","görev"
"vazife","görev"
"hâkezâ","bunun gibi"
"binaen","dayanarak"
"Kadîr-i Ezelî","her şeye gücü yeten ve varlığının başlangıcı ve sonu olmayan Allah"
"vücub-u vücud","Allah'ın varlığının zorunlu oluşu, var olmak için bir sebebe muhtaç olmaması"
"cihet","yön"
"şehadet","şahitlik etmek"
"Tâkat","güç, kapasite"
"fevkinde","üstünde"
"vazife","görev"
"acz-i mutlak","sınırsız güçsüzlük"
"lisan","dil"
"Kadîr","herşeye gücü yeten, sonsuz güç ve kudret sahibi Allah"
"vücud","varlık"
"şehadet","şahitlik etmek"
"nizam-ı âlem","âlemin düzeni"
"teşkil","oluşturan"
"düstur","kanun"
"muvazene-i mevcudat","kâinattaki varlıkların ölçü ve denge içinde olması"
"idame","devam ettiren"
"kanun","tabiat olaylarının bağlı olduğu değişmez kaide"
"tatbik-i hareket","uygun hareket"
"Alîm-i Kadîr","her şeyi bilen ve her şeye gücü yeten Allah"
"şehadet","şahitlik etmek"
"zerre","atom"
"câmid","cansız"
"Kitab-ı Mübîn","her şeyin açıkça yazılı olduğu, Allah katındaki kitap"
"mühim","önemli"
"nizam","düzen"
"mizan","ölçü, denge"
"Câmid","cansız"
"zerre","atom"
"Semâvat","gökler"
"Zât-ı Zülcelâl","sonsuz büyüklük ve haşmet sahibi Allah"
"Kitab-ı Mübîn","her şeyin açıkça yazılı olduğu, Allah katındaki kitap"
"mühim","önemli"
"divanelik","akılsızlık"
"zerre","atom"
"hurufât","harfler"
"tevehhüm","sanmak, zannetmek"
"zerre","atom"
"Fâtır-ı Hakîm","her şeyi hârika üstün sanatıyla benzersiz olarak ve hikmetle yaratan Allah"
"Kitab-ı Mübîn","her şeyin açıkça yazılı olduğu, Allah katındaki kitap"
"düstur","kanun"
"suret","biçim, görünüş"
"muhtasar","kısa, özet"
"mahsus","has, özel"
"icmâl","özetlemek"
"derc","yerleştirmek"
"mahsus","has, özel"
"amel","davranmak"
"Kitab-ı Mübîn","her şeyin açıkça yazılı olduğu, Allah katındaki kitap"
"düstur","kanun"
"imtisal","emre uymak, boyun eğmek"
"hane","ev"
"asâ","baston, değnek"
"âb-ı hayat","hayat suyu, kan"
"erkân-ı harp","savaş komutanı"
"maharet","beceri, hüner"
"mahlûk","yaratık, varlık"
"fenn-i harb","savaş sanatı"
"biçare","çaresiz"
"Said","bk. Bediüzzaman Said Nursî"
"kerrüfer harbi","vur-kaç tekniği ile yapılan savaş"
"müteaddit","çok sayıda, çeşitli"
"ilhâm","Allah tarafından kalbe gelen mânâ"
"mazhar","bir şeye erişme, kavuşma"
"hayvânât","hayvanlar"
"kıyas","karşılaştırmak"
"nebâtât","bitkiler"
"hayvânât","hayvanlar"
"kıyas","karşılaştırmak"
"Cevâd-ı Mutlak","sınırsız cömertlik ve ikram sahibi olan Allah"
"celle celâluhu","Allah'ın şânı yücedir"
"ferd-i zîhayat","canlı varlık"
"midâd","mürekkep"
"mürekkeb","yazı için kullanılan sıvı"
"tezkere","belge"
"evâmir-i tekviniye","yaratılışa ait emirler ve kanunlar"
"fihriste","liste, özet, içerik"
"tevdi","vermek"
"Hakîm-i Zülcelâl","her şeyi hikmetle yapan, sonsuz haşmet ve yücelik sahibi olan Allah"
"Kitab-ı Mübîn","her şeyin açıkça yazılı olduğu, Allah katındaki kitap"
"düstur","kanun"
"tezkere","belge"
"sandukça","küçük sandık"
"sandukça","küçük sandık"
"vazifeperver","vazifesini seven, işine düşkün"
"sandukça","küçük sandık"
"âyet","Kur'ân'ın her bir cümlesi"
"izhar","göstermek, ortaya çıkarmak"
"Nota","bildiri"
"hads-i imanî","imandan kaynaklanan güçlü sezgi"
"hakikat","gerçek, esas"
"düstur","kanun"
"nükte","ince anlamlı söz"
"NOTA","bildiri"
"nev-i beşer","insanlar"
"nübüvvet","peygamberlik"
"beşer","insanlık"
"hayır","iyilik"
"kemâlât","mükemmel ve kusursuz özellikler"
"fezleke","netice, özet"
"esas","temel"
"Din-i hak","hak din, İslâm"
"saadet","mutluluk"
"fihriste","liste, özet, içerik"
"İman","inanç"
"hüsn-ü münezzeh ve mücerred","her türlü kusur ve çirkinlikten arınmış ve soyutlanmış güzellik"
"âlem","dünya, evren"
"hüsün","güzellik"
"zâhir","açık, âşikar"
"hak","doğru gerçek"
"fâik","üstün, seçkin"
"kemal","mükemmellik, olgunluk"
"Bilbedâhe","açık bir şekilde"
"hak","doğru gerçek"
"hakikat","asıl, esas, gerçek mahiyet"
"nübüvvet","peygamberlik"
"nebî","peygamber"
"Dalâlet","hak yoldan ayrılma, sapkınlık"
"şer","kötülük"
"hasâret","hüsrana uğramak"
"muhalif","karşıt, aykırı olan"
"Mehâsin-i ubudiyet","ibadetin kazandırdığı iyilik ve güzellikler"
"Nebî aleyhisselâm","Hz. Muhammed (a.s.m.)"
"ubudiyet","kulluk"
"cihet","taraf, yön"
"muvahhidîn","Allah'ın varlığına ve birliğe inananlar"
"iyd","bayram"
"cemaat","topluluk"
"ittihad","birlik, birleşme"
"cem","toplamak"
"suret","şekil, biçim"
"Mâbûd-u Ezelî","varlığının başlangıcı olmayan ve sadece kendisine ibadet edilmesi gereken Allah"
"azamet-i hitab","büyük hitab"
"hadsiz","sınırsız"
"zikir","Allah'ı anma"
"mukabele","karşılık veren"
"zikir","Allah'ı anma"
"tesanüd","dayanışma"
"ittifak","anlaşma, birlik"
"suret","şekil, biçim"
"ulûhiyet","İlâhlık, ibadete ve itaat edilmeye lâyık olma"
"ubudiyet","kulluk"
"küre-i arz","yerküre"
"aktâr","bölgeler"
"semâvât","gökler"
"fevkinde","üstünde"
"izzet","değer, itibar, yücelik"
"azamet","büyüklük"
"nâzil","inen"
"küre-i arz","yerküre"
"imtisal","boyun eğmek, sıkıca sarılmak"
"sırr-ı ittihad","birlikteki sır, espri"
"kâinat","evren"
"zerre","atom"
"mahlûk","varlık"
"ubudiyet","kulluk"
"azamet","büyüklük"
"cihet","taraf, yön"
"Hâlık-ı Arz","yerin yaratıcısı olan Allah"
"Semâvât","gökler"
"mahbub","sevgili"
"abd","kul"
"arz","yeryüzü, dünya"
"halife","yeryüzünde Allah'ın emirlerini yerine getirip Onun namına tasarruflarda bulunan ve varlıklar üzerinde onun adına egemen olan insan"
"hayvânât","hayvanlar"
"reis","başkan, lider"
"hilkat-i kâinat","evrenin yaratılışı"
"netice","son, sonuç"
"hususan","özellikle"
"Allahu ekber","Allah en büyüktür"
"âlem-i gayb","gayb âlemi, görünmeyen âlem"
"ittihad","birlik, birleşme"
"âlem-i şehadet","görünen alem"
"ittihad","birlik, birleşme"
"içtima","toplanmak"
"küre-i arz","yerküre"
"azamet","büyüklük"
"nisbeten","oranla"
"sadâ","ses"
"Allahu ekber","Allah en büyüktür"
"müsavi","eşit, denk"
"muvahhidîn","Allah'ın varlığına ve birliğe inananlar"
"ittihad","birleşme"
"Allahu ekber","Allah en büyüktür"
"küre-i arz","yerküre, dünya"
"Allahu ekber","Allah en büyüktür"
"âlem-i İslâm","İslâm dünyası"
"zikir","Allah'ı anma"
"tesbih","Allah'ı her türlü kusurdan yüce tutarak şanına lâyık ifadelerle anma"
"zemin","yeryüzü"
"zelzele-i kübrâ","büyük deprem, kıyamet"
"mazhar","eriştirme"
"aktâr","bölgeler"
"Allahu ekber","Allah en büyüktür"
"kıble","namaza başlarken yönelinen taraf; Kâbe'nin bulunduğu Mekke şehri"
"Kâbe-i Mükerreme","şânı yüce Kâbe"
"Mekke","Suudi Arabistan'ın en büyük şehri. Hz. Muhammed'in doğduğu, içinde Kâbe bulunan ve Kur'an'ın indirilmeye başlandığı kutsal şehir; bk. Mekke"
"Cebel-i Arefe","bk. Arafat Dağı"
"Allahu ekber","Allah en büyüktür"
"etraf-ı arz","dünyanın çevresi"
"umum","bütün"
"mü'min","Allah'a inanan"
"mağaramisal","mağara gibi"
"temessül","belirmek, görünmek"
"Allahu ekber","Allah en büyüktür"
"aks-i sadâ","sesin yankılanması"
"hadsiz","sınırsız"
"Allahu ekber","Allah en büyüktür"
"vuku","gerçekleşmek, meydana gelmek"
"makbul","kabul edilen"
"zikir","Allah'ı anma"
"tekbir","Allah en büyüktür mânâsına gelen Allahu Ekber ifadesini söylemek"
"semâvât","gökler"
"berzah âlemleri","öldükten sonra ruhların gittiği, dünya ile âhiret arasındaki âlem"
"temevvüç","dalgalanmak, çalkalanmak"
"sadâ","ses"
"arz","yeryüzü"
"sâcid","secde eden"
"âbid","ibadet eden, kul"
"ibâd","kullar"
"mahlûklar","varlıklar"
"müsebbih","tesbih eden; Allah'ı, yüce şanına lâyık ifadelerle anan"
"mükebbir","tekbir getiren, Allahü ekber diyen"
"Zât-ı Zülcelâl","sonsuz büyüklük ve haşmet sahibi Allah"
"zerrât","atomlar"
"hamd","övgü ve şükür"
"tesbih","Allah'ı her türlü kusurdan yüce tutarak şanına lâyık ifadelerle anma"
